326	10.83	1863.27	1771.32	1896.61	1843.85	1185.95	1170.28	1086.01	1084.46
331	11	1857.64	1766.75	1891.85	1840.8	1196.37	1175.17	1095.97	1091.13
336	11.17	1852.63	1762.29	1887.81	1837.91	1206.19	1180.33	1104.8	1097.22
341	11.33	1848.32	1758.27	1884.38	1834.52	1214.9	1185.1	1112.78	1103.63
346	11.5	1844.62	1754.82	1881.43	1830.73	1222.67	1189.51	1120.26	1110.29
351	11.67	1841.22	1751.89	1878.96	1827.19	1230.21	1194.4	1127.11	1116.77
356	11.83	1837.86	1750.28	1876.92	1824.14	1238.13	1199.99	1133.48	1123.24
361	12	1834.57	1751.35	1874.96	1821.33	1246.26	1205.58	1140.33	1129.9
366	12.17	1831.21	1755.34	1872.9	1818.47	1254.62	1210.18	1147.95	1136.84
371	12.33	1827.38	1761.6	1870.95	1815.33	1263.82	1213.27	1155.37	1144.33
376	12.5	1823.27	1770.03	1869.28	1812.09	1273.52	1215.16	1162.14	1152.09
381	12.67	1819.48	1779.69	1867.93	1810.42	1282.66	1216.61	1168.45	1159.72
386	12.83	1816.42	1789.38	1866.92	1811.69	1290.81	1218.33	1174.29	1167.84
391	13	1814.22	1799.82	1866.04	1814.86	1298.07	1220.22	1180.11	1176.89
396	13.17	1812.55	1809.85	1865.28	1818.69	1304.93	1221.7	1187.3	1186.32
401	13.33	1811.14	1816.63	1866.29	1822.52	1311.94	1223.17	1197.02	1194.87
406	13.5	1810.71	1821.64	1871.89	1825.18	1319.38	1225.53	1207.72	1200.77
411	13.67	1812.32	1829.01	1882.67	1826.95	1326.94	1229.36	1215.8	1204.01
416	13.83	1815.91	1840.21	1895.34	1829.3	1333.71	1234.96	1219.93	1206.37
421	14	1821	1853.77	1905.66	1833.43	1339.12	1242.33	1221.7	1209.02
426	14.17	1827.62	1868.51	1913.03	1839.92	1343.39	1252.36	1223.17	1212.56
431	14.33	1835.52	1885.91	1920.11	1847.58	1346.83	1265.92	1224.94	1216.98
436	14.5	1843.95	1908.31	1928.07	1854.95	1349.41	1280.96	1226.42	1221.4
441	14.67	1851.95	1935.44	1937.21	1861.73	1351.12	1293.34	1227.89	1224.94
446	14.83	1858.88	1962.88	1948.41	1867.92	1352.1	1300.92	1229.95	1228.18
451	15	1864.98	1985.47	1960.5	1874.41	1352.62	1304.29	1232.9	1232.9
456	15.17	1870.68	2003.57	1971.99	1882.67	1352.85	1304.47	1237.62	1239.09
461	15.33	1876.1	2021.61	1983.79	1892.98	1353.08	1302.4	1243.51	1244.99
466	15.5	1881.87	2040.21	1994.99	1903.6	1353.71	1299.47	1247.94	1249.71
471	15.67	1888.19	2057.26	2002.36	1911.85	1354.5	1296.6	1249.71	1253.24
476	15.83	1894.24	2072.85	2006.19	1917.75	1354.58	1293.62	1250	1255.9
481	16	1899.17	2087.59	2010.32	1923.64	1353.68	1290.62	1249.71	1258.55
486	16.17	1902.89	2100.62	2017.69	1931.31	1352.39	1289.12	1248.23	1262.38
491	16.33	1906.66	2110.49	2028.89	1941.94	1350.98	1290.96	1244.99	1267.37
496	16.5	1911.75	2115.45	2042.16	1954.65	1349.18	1296.64	1240.57	1271.55
501	16.67	1917.58	2114.5	2054.83	1966.41	1347.01	1304.85	1235.85	1273.79
506	16.83	1923.38	2109.1	2065.74	1975.98	1344.72	1312.98	1231.13	1275.02
511	17	1929.61	2101.3	2075.47	1984.07	1342.33	1319.43	1226.42	1275.92
516	17.17	1936.39	2091.6	2085.65	1991.07	1339.98	1325.21	1222.02	1276.62
521	17.33	1942.99	2080.72	2097.98	1997.46	1338.18	1331.61	1218.79	1277.38
526	17.5	1949.07	2069.6	2111.57	2004.05	1336.9	1338.87	1217.1	1278.21
531	17.67	1955.37	2058	2123.75	2011.26	1335.42	1346.58	1216.12	1278.59
536	17.83	1962.56	2045.62	2134.6	2019.29	1333.35	1353.11	1214.93	1277.89
541	18	1969.59	2032.23	2145.47	2028.12	1331.4	1356.62	1213.36	1276.16
546	18.17	1974.31	2017.03	2155.47	2036.46	1330.4	1356.79	1211.66	1274.18
551	18.33	1976.12	2000	2163.59	2043	1330.19	1355.25	1210.08	1272.55
556	18.5	1977	1982.9	2170.23	2048.9	1329.89	1354.36	1208.76	1270.96
561	18.67	1980.25	1967.28	2175.73	2055.71	1328.42	1355.25	1207.79	1268.94
566	18.83	1987.32	1952.83	2180.15	2062.95	1325.47	1357.02	1207.19	1266.59
571	19	1995.87	1938.97	2183.99	2069.91	1322.23	1358.2	1206.72	1263.76
576	19.17	2003.54	1925.71	2187.89	2076.51	1319.58	1359.08	1206.14	1260.08
581	19.33	2009.73	1911.26	2191.98	2082.29	1317.51	1361.44	1205.31	1255.74
586	19.5	2013.27	1892.69	2196.37	2086.93	1316.33	1364.09	1204.06	1251.02
591	19.67	2014.15	1871.76	2201.28	2090.81	1316.04	1362.32	1202.72	1245.84
596	19.83	2013.9	1855.25	2206.56	2094.5	1315.98	1354.69	1202.89	1240.03
601	20	2013.08	1846.78	2212.06	2098.33	1315.62	1344.41	1206.44	1233.59
606	20.17	2012.61	1843.23	2217.18	2102.27	1314.7	1332.85	1212.92	1226.59
611	20.33	2014.03	1840.22	2220.54	2106.3	1313.25	1319.04	1219.91	1219.09
616	20.5	2017.27	1836.68	2221.71	2110.56	1311.24	1303.61	1226.52	1211.09
621	20.67	2021.41	1834.05	2221.58	2114.67	1307.97	1288.21	1233.28	1203.04
626	20.83	2025.86	1834.26	2220.78	2117.93	1303.29	1273.9	1239.9	1195.61
631	21	2029.52	1838.51	2219.2	2120.17	1298.66	1261.68	1246.4	1188.85
636	21.17	2031.72	1846.53	2216.69	2121.76	1295.11	1251.94	1253.26	1181.98
641	21.33	2033.33	1857.2	2213.38	2122.82	1291.87	1243.98	1260	1174.31
646	21.5	2035.15	1869.21	2209.46	2122.88	1288.12	1237.01	1265.98	1165.99
651	21.67	2037.12	1881.54	2204.98	2121.65	1284.15	1230.37	1271.42	1157.76
656	21.83	2039.21	1893.64	2199.92	2119.38	1280.15	1223.48	1276.6	1150.28
661	22	2041.53	1904.94	2194.37	2116.43	1275.88	1216.4	1281.39	1143.66
666	22.17	2043.89	1915.29	2188.69	2113.1	1271.53	1209.78	1285.48	1137.7
671	22.33	2046.15	1925.92	2183.07	2109.61	1267.43	1203.89	1288.87	1132.16
676	22.5	2048.7	1938.42	2176.95	2105.78	1263.33	1198.48	1292.08	1126.52
681	22.67	2051.83	1952.55	2170.27	2101.6	1258.61	1193.13	1295.19	1120.49
686	22.83	2055.12	1966.54	2163.77	2097.46	1253.21	1187.49	1297.43	1114.54
691	23	2057.7	1979.49	2157.22	2093.48	1247.97	1181.5	1297.97	1108.97
696	23.17	2059.35	1991.87	2150.44	2089.49	1243.23	1175.63	1296.4	1103.64
701	23.33	2060.62	2004.28	2144.94	2085.3	1238.19	1170.41	1293.55	1098.33
706	23.5	2061.8	2017.22	2141.27	2080.72	1232.52	1165.62	1290.42	1092.88
711	23.67	2062.76	2030.7	2137.34	2076.11	1226.83	1160.62	1286.02	1087.66
716	23.83	2063.49	2043.82	2132.19	2071.84	1221.48	1155.29	1279.44	1082.86
721	24	2064	2055.57	2127.37	2067.79	1216.72	1150.13	1272.01	1078.23
726	24.17	2064.24	2065.77	2124	2064.2	1212.65	1145.52	1265.39	1073.66
