271	9	1629.35	1558.57	1557.13	1471.58	1490.81	1102.77	966.66	1066.66	1092.6	1005.45
276	9.17	1631.2	1556.31	1557.13	1473.5	1486.18	1112.51	975.03	1071.42	1099.54	1013.56
281	9.33	1633.49	1553.63	1557.13	1477.44	1481.14	1123.45	991.03	1076.18	1105.73	1020.43
286	9.5	1634.6	1552.84	1561.89	1483.52	1476.5	1131.12	997.85	1080.94	1113.19	1027.05
291	9.67	1636.29	1547.6	1561.89	1492.56	1471.65	1139.67	1009.51	1090.47	1120.44	1033.56
296	9.83	1637.48	1552.37	1561.89	1498.59	1466.41	1149.39	1028.56	1095.23	1125.2	1040.77
301	10	1638.87	1542.84	1552.37	1505.08	1460.83	1156.73	1038.09	1099.99	1130.37	1048.93
306	10.17	1639.98	1538.08	1557.13	1516.41	1456.15	1163.42	1038.09	1104.75	1138.41	1057.87
311	10.33	1640.64	1533.32	1561.89	1520.48	1454.87	1171.42	1042.85	1114.28	1141.4	1062.37
316	10.5	1641.14	1536.49	1566.65	1528.28	1454	1177.2	1046.27	1119.04	1146.91	1070.67
321	10.67	1642.08	1532.09	1566.65	1532.68	1454.75	1184.75	1055.14	1123.8	1151.1	1077.56
326	10.83	1642.46	1527.69	1571.41	1535.05	1457.27	1190.66	1061.75	1128.56	1153.24	1086.38
331	11	1643.76	1525.79	1580.94	1543.32	1459.44	1199.26	1071.26	1138.08	1159.99	1092.51
336	11.17	1644.25	1525.33	1585.7	1546.49	1463.31	1202.46	1078.64	1142.85	1163.32	1101.02
341	11.33	1645.22	1526.46	1590.46	1549.05	1468.29	1209.85	1085.84	1142.85	1165.93	1110.87
346	11.5	1645.3	1526.18	1599.98	1558.14	1470.54	1213.29	1090.05	1142.85	1171.99	1117.16
351	11.67	1645.9	1530.05	1604.75	1559.03	1472.74	1218.53	1099.58	1147.61	1171.42	1123.27
356	11.83	1646.45	1532.5	1609.51	1564.07	1475.34	1222.48	1105.84	1152.37	1175.09	1130.1
361	12	1647.6	1536.24	1609.51	1566.65	1478.49	1228.56	1112.89	1157.13	1180.94	1136.5
366	12.17	1647.6	1542	1604.75	1585.7	1481.53	1238.08	1120.86	1171.42	1180.94	1143.29
371	12.33	1647.6	1546.72	1609.51	1599.98	1482.92	1238.08	1125.68	1180.94	1171.42	1146.95
376	12.5	1647.6	1556.24	1619.03	1614.27	1486.07	1242.85	1123.58	1185.7	1157.13	1152.86
381	12.67	1647.6	1582.81	1619.03	1623.79	1491.59	1247.61	1106.92	1190.46	1157.13	1161.14
386	12.83	1652.37	1606.15	1623.79	1638.08	1497.54	1252.37	1092.43	1190.46	1147.61	1164.21
391	13	1652.37	1630.3	1633.32	1680.94	1513.12	1261.89	1072.05	1190.46	1142.85	1167.64
396	13.17	1652.37	1640.46	1642.84	1704.75	1519.17	1271.42	1058.83	1195.23	1142.85	1166.52
401	13.33	1657.13	1642.57	1638.08	1728.55	1528.95	1276.18	1040.94	1208.13	1138.08	1166.52
406	13.5	1659.98	1633.81	1642.26	1747.6	1543.13	1273.8	1028.2	1213.99	1133.32	1169.69
411	13.67	1672.49	1613.55	1652.01	1764	1558.52	1279.64	1020.34	1212.33	1128.3	1167.58
416	13.83	1676.8	1598.35	1662.6	1780.03	1578.84	1280.94	1019.04	1204.27	1119.68	1161.47
421	14	1684.87	1581.76	1673.06	1789.1	1598.56	1284.05	1019.04	1191.38	1095.23	1155.86
426	14.17	1690.84	1565.92	1683.41	1783.7	1618.85	1285.32	1019.22	1183.23	1086.47	1150.36
431	14.33	1696.17	1550.94	1698.7	1776.03	1634.59	1287.04	1023.8	1175.45	1072.68	1146.5
