1	0	499.56	950.51
2	0.01	497.99	946.84
3	0.02	498	947.27
4	0.03	496.98	944.66
5	0.03	496.43	943.89
6	0.04	495.16	941.36
7	0.05	494.6	939.95
8	0.06	493.97	939.5
9	0.07	493.22	937.7
10	0.07	491.69	934.31
11	0.08	491.18	933.21
12	0.09	490.38	931.79
13	0.1	489.08	929.23
14	0.11	488.44	928.13
15	0.12	487.22	925.97
16	0.13	486.48	924.72
17	0.13	485.75	923.5
18	0.14	485.94	922.8
19	0.15	482.88	916.81
20	0.16	482.25	916.17
21	0.17	481.51	912.55
22	0.17	481.17	913.2
23	0.18	480.88	911.03
24	0.19	479.74	908.17
25	0.2	479.27	907.8
26	0.21	479.27	904.21
27	0.22	479.08	904.87
28	0.23	478.42	903.29
29	0.23	478.15	902.09
30	0.24	477.9	900.2
31	0.25	477.97	896.89
32	0.26	478.42	895.72
33	0.27	478.42	894.03
34	0.28	478.69	892.87
35	0.28	479.43	890.49
36	0.29	479.43	890.49
37	0.3	479.83	889.86
38	0.31	480.2	888.08
39	0.32	480.47	886.44
40	0.33	481.02	883.16
41	0.33	481.61	881.49
42	0.34	482.52	878.93
43	0.35	482.94	877.9
44	0.36	482.91	877.68
45	0.37	483.78	875.07
46	0.38	484.88	871.56
47	0.38	485.6	869.46
48	0.39	486.31	867.36
49	0.4	486.39	866.21
50	0.41	487.39	862.65
51	0.42	488.12	859.93
52	0.42	488.12	859.93
53	0.43	488.67	858.28
54	0.44	489.35	855.14
55	0.45	489.68	853.28
56	0.46	489.76	852.27
57	0.47	490.18	851.72
58	0.47	490.45	848.99
59	0.48	490.38	849.07
60	0.49	490.69	846.93
61	0.5	491.31	842.55
62	0.51	491.54	841.34
63	0.52	491.48	841.37
64	0.53	491.89	838.49
65	0.53	491.93	837.95
66	0.54	491.97	834.61
67	0.55	492.17	833.77
68	0.56	492.39	833.96
69	0.57	492.39	831.95
70	0.57	492.42	830.23
71	0.58	492.32	828.35
72	0.59	492.54	826.5
73	0.6	492.9	825.27
74	0.61	493.67	820.34
75	0.62	493.79	819.55
76	0.63	493.44	817.43
77	0.63	493.29	817.45
78	0.64	493.44	817.43
79	0.65	493.29	814.22
80	0.66	493.32	814.82
81	0.67	493.44	814.24
82	0.68	493.03	811.24
83	0.68	492.77	810.42
84	0.69	492.4	805.59
85	0.7	492.91	802.92
86	0.71	493.19	803.6
87	0.72	492.91	802.92
88	0.72	492.64	801.28
89	0.73	492.38	798.7
90	0.74	492.51	797.1
91	0.75	492.51	797.1
92	0.76	492.23	796.36
93	0.77	492.26	793.92
94	0.78	492.51	793.53
95	0.78	491.84	790.59
96	0.79	492.13	791.07
97	0.8	491.65	789.53
98	0.81	491.58	786.7
99	0.82	491.68	785.84
100	0.82	491.31	785.01
101	0.83	490.96	784.35
102	0.84	490.11	781.42
103	0.85	490.18	780.23
104	0.86	489.82	777.01
105	0.87	489.4	775.74
106	0.88	489.49	776.54
107	0.88	489.25	774.79
108	0.89	489.22	773.13
109	0.9	489.22	773.13
110	0.91	489.22	773.13
111	0.92	488.92	772.12
112	0.92	488.52	769.99
113	0.93	488.24	767.36
114	0.94	487.51	765.95
115	0.95	487.71	765.89
116	0.96	487.84	765.76
117	0.97	487.44	763.28
118	0.97	487.06	762.68
119	0.98	486.19	759.97
120	0.99	486.23	759.3
121	1	486.44	759.39
122	1.01	486.39	758.83
123	1.02	485.85	756.91
124	1.02	485.85	756.91
125	1.03	485.65	756.72
126	1.04	485.42	755.2
127	1.05	485.4	755.13
128	1.06	483.64	749.67
129	1.07	483.78	750.54
130	1.08	484.33	751.4
131	1.08	484.24	749.96
132	1.09	483.83	749.1
133	1.1	483.34	747.93
134	1.11	481.48	745.54
135	1.12	481.29	742.51
136	1.13	480.41	741.68
137	1.13	480.09	741.19
138	1.14	479.77	740.69
139	1.15	478.29	739.16
140	1.16	476.82	738.1
141	1.17	476.16	737.43
142	1.18	473.89	735.88
143	1.18	469.98	733.67
144	1.19	467.66	732.38
145	1.2	460.57	728.3
146	1.21	460.02	728.3
147	1.22	458.26	727.03
148	1.23	457.19	726.6
149	1.23	456.67	726.47
150	1.24	455.42	726.12
151	1.25	452.74	725.12
152	1.26	444.93	722.41
153	1.27	451.81	725.25
154	1.27	453.13	725.69
155	1.28	449.28	724.15
156	1.29	447.8	723.23
157	1.3	446.01	722.88
158	1.31	439.57	720.31
159	1.32	439.57	720.31
160	1.33	437.01	718.78
161	1.33	437.21	718.4
162	1.34	434.46	717.48
163	1.35	432.97	716.83
164	1.36	433.55	717.3
165	1.37	431.57	716.47
166	1.38	428.98	715.74
167	1.38	427.62	715.24
168	1.39	428.47	715.52
169	1.4	426.09	714.64
170	1.41	425.48	714.7
171	1.42	418.88	711.96
172	1.43	419.66	711.8
173	1.43	417.77	711.15
174	1.44	416.07	710.84
175	1.45	415.73	710.7
176	1.46	414.79	710.61
177	1.47	414.49	710.09
178	1.48	413.62	709.95
179	1.48	412.71	709.89
180	1.49	411.15	709.95
181	1.5	410.05	710.07
182	1.51	409.9	709.76
183	1.52	409.89	709.47
184	1.52	407.64	708.8
185	1.53	407.64	708.8
186	1.54	406.29	708.8
187	1.55	403.38	708.06
188	1.56	395.72	705.67
189	1.57	396.34	705.97
190	1.58	396.07	706.18
191	1.58	394.63	705.74
192	1.59	393.29	705.53
193	1.6	390.21	704.92
194	1.61	389.53	704.97
195	1.62	387.85	704.6
196	1.63	386.62	704.17
197	1.63	387.23	704.44
198	1.64	384.28	703.59
199	1.65	381.37	702.94
200	1.66	380.43	702.78
